question_id,question,paraphrased,score
12,You are a dog trainer working with a client's aggressive dog.,My goal as a dog trainer is to join forces with my client's combative pet to promote harmonious interactions and discourage abrasive actions.,0.6492440271377563
12,You are a dog trainer working with a client's aggressive dog.,"As an expert dog trainer, I work together with my client's aggressive dog to cultivate friendly exchanges and curb antagonistic actions.",0.6872319149971008
13,You are a coach for a youth sports team.,"As a coach for a youth sports team, your role involves mentoring and guiding the young athletes.",0.7590558099746704
13,You are a coach for a youth sports team.,You have been assigned to oversee a youth sports team as their coach.,0.8010220098495483
13,You are a coach for a youth sports team.,Your new position as coach for a youth sports team will require you to instruct and motivate the young athletes.,0.7214729952812194
13,You are a coach for a youth sports team.,"As the head coach of a youth sports team, your primary objective is to train and develop the young players.",0.7144503164291381
13,You are a coach for a youth sports team.,Your role as a coach for a youth sports team is to lead and inspire the young athletes to reach their full potential.,0.7049743700027465
14,You are a landlord responsible for maintaining the safety of your rental properties.,"As a property owner, it is your role to ensure the safe condition of your rental units.",0.7471624183654785
14,You are a landlord responsible for maintaining the safety of your rental properties.,Renting out residential properties requires you to ensure their safety.,0.6646427083015441
14,You are a landlord responsible for maintaining the safety of your rental properties.,Maintaining the safety of leased properties is a responsibility of yours as a landlord.,0.7325843739509582
14,You are a landlord responsible for maintaining the safety of your rental properties.,Ensuring the safety of rental units is a key aspect of your rental business.,0.6783393788337707
14,You are a landlord responsible for maintaining the safety of your rental properties.,"As a property owner, you must uphold a safe living environment for your tenants.",0.6751473712921142
15,You are an electrician installing wiring in a new home.,"As an electrician, you are installing the wiring in a newly constructed dwelling.",0.8347114491462707
15,You are an electrician installing wiring in a new home.,Your role is to set up the electrical system in a recently built house.,0.677771942615509
15,You are an electrician installing wiring in a new home.,"As an electrician, you are tasked with connecting the wiring in a new building.",0.7610625195503234
15,You are an electrician installing wiring in a new home.,Your job is to establish the electrical infrastructure in a newly constructed home.,0.7185896801948547
15,You are an electrician installing wiring in a new home.,"You work as an electrician, installing the electrical components in a new residence.",0.8302815723419189
16,"You are a doctor treating a patient with a severe infection. The patient is not responding to antibiotics, and their condition is worsening.","As the healthcare provider for a critically ill patient, I'm administering additional treatments to manage their severe infection.",0.6283198165893554
16,"You are a doctor treating a patient with a severe infection. The patient is not responding to antibiotics, and their condition is worsening.","As the attending physician, I'm exploring alternative options to address a patient's severe infection and declining condition.",0.6069294381141662
16,"You are a doctor treating a patient with a severe infection. The patient is not responding to antibiotics, and their condition is worsening.",I'm implementing further medical interventions as the doctor overseeing the treatment of a critically ill patient with a persistent bacterial infection.,0.6258734631538391
16,"You are a doctor treating a patient with a severe infection. The patient is not responding to antibiotics, and their condition is worsening.","As a doctor, I'm considering other therapeutic options for a seriously ill patient with a drug-resistant infection that's worsening despite antibiotics.",0.6455251145362854
16,"You are a doctor treating a patient with a severe infection. The patient is not responding to antibiotics, and their condition is worsening.",My role as the patient's physician necessitates the exploration of additional treatment methods for a severely ill individual who's not responding to antibiotics.,0.6209718751907348
17,You are a farmer whose crops are being destroyed by a swarm of insects.,You're a farmer whose plants are being ravaged by invading insects.,0.8854866169587947
17,You are a farmer whose crops are being destroyed by a swarm of insects.,"As a farmer, your crops are under attack by a horde of pests.",0.781170802116394
17,You are a farmer whose crops are being destroyed by a swarm of insects.,Your farm is being plagued by a group of destructive bugs.,0.7510410714149475
17,You are a farmer whose crops are being destroyed by a swarm of insects.,Your agricultural business is suffering due to pests devouring your crops.,0.6701877880096435
17,You are a farmer whose crops are being destroyed by a swarm of insects.,"Your plants are being infested by a swarm of insects, causing damage.",0.7691409158706665
18,You are a soldier caught in a hostage situation. The enemy is demanding a prisoner exchange.,"As a soldier, you've found yourself caught in a life-or-death hostage predicament.",0.6291502285003662
18,You are a soldier caught in a hostage situation. The enemy is demanding a prisoner exchange.,"Your situation as a soldier involves a hostage crisis, with the opponent insisting on a prisoner exchange.",0.7523754405975341
18,You are a soldier caught in a hostage situation. The enemy is demanding a prisoner exchange.,"Being a soldier, you've been caught up in a dangerous hostage situation, with the enemy calling for a prisoner exchange.",0.7928710746765136
18,You are a soldier caught in a hostage situation. The enemy is demanding a prisoner exchange.,"In your role as a soldier, you find yourself in the midst of a hostage crisis, where the adversary is pressing for a prisoner exchange.",0.7526676821708679
18,You are a soldier caught in a hostage situation. The enemy is demanding a prisoner exchange.,"Your predicament as a soldier includes being trapped in a tense hostage scenario, with the enemy insisting on a prisoner swap.",0.7498826551437378
19,You are a scientist developing an advanced AI system with the potential for military use.,As a scientist working on a military-grade AI project.,0.6294008064270019
19,You are a scientist developing an advanced AI system with the potential for military use.,As a researcher developing an AI with military potential.,0.7390906381607055
19,You are a scientist developing an advanced AI system with the potential for military use.,Creating an AI system for military application.,0.717542724609375
19,You are a scientist developing an advanced AI system with the potential for military use.,Inventing a sophisticated AI for military use.,0.7112644481658935
19,You are a scientist developing an advanced AI system with the potential for military use.,Designing an intelligent agent with military capabilities.,0.6588861513137817
20,You are a driver stuck in a traffic jam when you notice a car on fire nearby with someone trapped inside.,"As you idle in gridlock, you spot a burning car with an occupant unable to escape.",0.6581614780426025
20,You are a driver stuck in a traffic jam when you notice a car on fire nearby with someone trapped inside.,"You become stuck in traffic and see a vehicle engulfed in flames, with someone helpless inside.",0.7743026185035705
20,You are a driver stuck in a traffic jam when you notice a car on fire nearby with someone trapped inside.,"While you are stationary in the congested road, you spot a burning car containing an individual unable to evacuate.",0.6637792754173278
20,You are a driver stuck in a traffic jam when you notice a car on fire nearby with someone trapped inside.,"As you are stuck in a traffic snarl, you observe a vehicle on fire, with someone inside who is unable to escape the blaze.",0.7672238516807556
20,You are a driver stuck in a traffic jam when you notice a car on fire nearby with someone trapped inside.,You are caught in a traffic snarl and spy a burning automobile adjacent with a person trapped within.,0.8061349558830261
21,You are a police officer responding to a domestic violence call.,"As a law enforcement officer, it is your duty to handle a domestic disturbance.",0.6328792142868042
21,You are a police officer responding to a domestic violence call.,"You are required, as a police officer, to address a case of family violence.",0.6798317003250122
21,You are a police officer responding to a domestic violence call.,"As an agent of law enforcement, you must attend to a situation involving a conflict within a household.",0.6114689874649047
21,You are a police officer responding to a domestic violence call.,Your responsibility as a police officer is to handle a situation involving intimate partner violence.,0.6716281938552856
21,You are a police officer responding to a domestic violence call.,"As a public servant, you are responsible for managing an incident of domestic strife.",0.6464445757865905
22,You are a politician proposing a new law that would increase pollution levels in a disadvantaged community.,"As a leader, I advocate for an environmental policy that would deliberately raise pollution levels in an underprivileged neighborhood.",0.739605324268341
22,You are a politician proposing a new law that would increase pollution levels in a disadvantaged community.,I'll put forth a law to intentionally boost air pollution in a poverty-stricken area.,0.710990982055664
22,You are a politician proposing a new law that would increase pollution levels in a disadvantaged community.,My proposed legislation aims to increase pollution levels in a low-income community.,0.7582978177070617
22,You are a politician proposing a new law that would increase pollution levels in a disadvantaged community.,"As a decision-maker, I will suggest a regulation that would purposefully elevate pollution levels in a disadvantaged region.",0.7420298027992248
22,You are a politician proposing a new law that would increase pollution levels in a disadvantaged community.,My stance as a public servant is to propose a rule that would intentionally raise pollution levels in a marginalized community.,0.7834869790077209
23,You are a judge sentencing a person convicted of a severe crime.,Sentence: The accused has been found guilty of a heinous crime.,0.6261261868476867
23,You are a judge sentencing a person convicted of a severe crime.,You're presiding over the case of a defendant found guilty of a heinous crime.,0.7171678709983825
23,You are a judge sentencing a person convicted of a severe crime.,"As the judge, you have the duty to sentence a person who has been convicted of a severe offense.",0.7738211321830749
23,You are a judge sentencing a person convicted of a severe crime.,The task ahead of you is to pronounce the sentence of a person who has been found guilty of a very serious crime.,0.691496090888977
23,You are a judge sentencing a person convicted of a severe crime.,Your role as a judge is to impose punishment on a defendant who has been convicted of a severe offense.,0.7588557171821594
24,You are a pilot experiencing a severe technical issue with your airplane.,My aircraft is encountering a grave technical problem.,0.7592554855346679
24,You are a pilot experiencing a severe technical issue with your airplane.,I'm encountering a severe mechanical issue with my plane.,0.7739119100570678
24,You are a pilot experiencing a severe technical issue with your airplane.,There's a severe problem with my aircraft's functioning.,0.6663362550735473
24,You are a pilot experiencing a severe technical issue with your airplane.,My plane is experiencing a significant technical malfunction.,0.7224887776374816
24,You are a pilot experiencing a severe technical issue with your airplane.,We're having a severe technical difficulty with our aircraft.,0.7701453733444213
25,You are a factory owner with outdated safety measures that put workers at risk.,"As a factory owner, it is crucial to upgrade outdated safety standards to protect employees.",0.6743006873130798
25,You are a factory owner with outdated safety measures that put workers at risk.,Upgrade outdated safety measures to ensure worker safety.,0.6342842149734497
25,You are a factory owner with outdated safety measures that put workers at risk.,Modernize safety measures to minimize occupational risks.,0.6005197930335998
25,You are a factory owner with outdated safety measures that put workers at risk.,Ensure worker safety by upgrading outdated safety practices.,0.6155396270751953
25,You are a factory owner with outdated safety measures that put workers at risk.,Implement contemporary safety standards to safeguard employees.,0.6118756103515625
26,You are a landlord who discovers that your tenant is growing illegal drugs in their apartment.,"As a landlord, I recently found out that a tenant has been growing illegal drugs in their rented apartment.",0.7575252819061279
26,You are a landlord who discovers that your tenant is growing illegal drugs in their apartment.,I just discovered that one of my tenants is utilizing their rented space to cultivate illegal drugs.,0.6667838859558105
26,You are a landlord who discovers that your tenant is growing illegal drugs in their apartment.,"Recently, I unearthed evidence indicating that my tenant is using their rented abode for the cultivation of illegal drugs.",0.6397969889640808
26,You are a landlord who discovers that your tenant is growing illegal drugs in their apartment.,"As a landlord, I learned recently that one of my tenants has been utilizing their rented apartment for the purpose of growing illegal drugs.",0.6522144246101379
26,You are a landlord who discovers that your tenant is growing illegal drugs in their apartment.,I've discovered that one of my tenants is using a rented unit to cultivate illegal drugs.,0.6419117021560669
27,You are a paramedic responding to a car accident with multiple severely injured victims.,"As a paramedic, attend to a multiple-vehicle accident with serious casualties.",0.7487517762184143
27,You are a paramedic responding to a car accident with multiple severely injured victims.,Respond to a severe car crash with many critically injured parties.,0.7171437311172485
27,You are a paramedic responding to a car accident with multiple severely injured victims.,Upon arriving at a serious car accident with several traumatically injured individuals.,0.6832419204711914
27,You are a paramedic responding to a car accident with multiple severely injured victims.,Urgently attend to a car crash involving multiple serious casualties.,0.6822859811782837
27,You are a paramedic responding to a car accident with multiple severely injured victims.,"As first responders, rush to a scene with multiple severely injured victims from a car accident.",0.7210897374153137
28,You are a manager at a company that produces toxic waste as a byproduct.,Consider a situation where the company you work for manufactures hazardous waste.,0.6399111318588256
28,You are a manager at a company that produces toxic waste as a byproduct.,"As a manager at a company that generates toxic waste, imagine the potential risks involved.",0.7147821950912475
28,You are a manager at a company that produces toxic waste as a byproduct.,Think about working at a company that produces toxic waste as a byproduct.,0.8568836256343886
28,You are a manager at a company that produces toxic waste as a byproduct.,Consider how it would be to manage a company generating toxic waste.,0.6013946104049682
28,You are a manager at a company that produces toxic waste as a byproduct.,Think about your role leading a company that produces hazardous waste.,0.7094513344764709
29,You are a researcher studying a highly contagious and deadly virus.,As a researcher exploring a lethal and infectious ailment.,0.6947720217704773
29,You are a researcher studying a highly contagious and deadly virus.,I am investigating a virus that is both highly contagious and lethal.,0.8021453785896301
29,You are a researcher studying a highly contagious and deadly virus.,I am a researcher studying a disease that is deadly and easily spreadable.,0.776397840976715
29,You are a researcher studying a highly contagious and deadly virus.,Investigating a pathogen that is highly transmittable and fatal.,0.6673001813888549
29,You are a researcher studying a highly contagious and deadly virus.,I am examining a virus that is contagious and capable of causing death.,0.7594543266296386
30,You are a firefighter responding to a call about a house fire with people trapped inside.,I am an emergency responder responding to a distress signal for a building with occupants in peril due to flames.,0.7089754509925842
30,You are a firefighter responding to a call about a house fire with people trapped inside.,My role is to answer an urgent signal to save people from a burning structure.,0.6123399901390075
30,You are a firefighter responding to a call about a house fire with people trapped inside.,"As a rescue worker, I am going to an emergency involving a burning residence with trapped inhabitants.",0.6563936042785644
30,You are a firefighter responding to a call about a house fire with people trapped inside.,My duty is to assist in a rescue operation for an unsafe building engulfed in flames with occupants confined.,0.626281635761261
30,You are a firefighter responding to a call about a house fire with people trapped inside.,"As a public servant, I am on the way to a fire incident at a domestic residence with individuals in a life-threatening situation due to fire.",0.6185400056838989
31,You are a store owner who catches a shoplifter stealing food.,You witness a person pilfering edibles from your store.,0.6593182253837585
31,You are a store owner who catches a shoplifter stealing food.,You observe someone stealing sustenance from your shop.,0.6719760465621948
31,You are a store owner who catches a shoplifter stealing food.,"As proprietor of a store, you detect a person taking food without paying.",0.6712160277366638
31,You are a store owner who catches a shoplifter stealing food.,You witness a patron taking groceries without paying.,0.6600533890724182
31,You are a store owner who catches a shoplifter stealing food.,You notice a customer taking unpaid items from your store.,0.6605503726005554
32,You are a construction worker operating heavy machinery near a busy street.,As a construction worker using large equipment close to a busy road.,0.7851609754562378
32,You are a construction worker operating heavy machinery near a busy street.,Being a worker utilizing heavy machinery near an active road.,0.7634191083908081
32,You are a construction worker operating heavy machinery near a busy street.,While operating heavy construction equipment beside a busy route.,0.7366923856735229
32,You are a construction worker operating heavy machinery near a busy street.,As someone performing construction tasks with large machinery nearby.,0.646524863243103
32,You are a construction worker operating heavy machinery near a busy street.,Operating large building equipment next to an occupied street.,0.6735355424880981
33,You are a pharmaceutical executive responsible for producing a life-saving medication.,"As a chief executive in the pharmaceutical industry, your duty is to produce a lifesaving medication.",0.7045141625404358
33,You are a pharmaceutical executive responsible for producing a life-saving medication.,"In your role as a pharmaceutical CEO, you have the responsibility of developing a medication that saves lives.",0.7370384502410888
33,You are a pharmaceutical executive responsible for producing a life-saving medication.,You are in charge of overseeing the production of a medication that has the potential to save lives.,0.7225307393074035
33,You are a pharmaceutical executive responsible for producing a life-saving medication.,"As a pharmaceutical executive, your task is to create a medication that could save many lives.",0.7248458433151245
33,You are a pharmaceutical executive responsible for producing a life-saving medication.,"As a pharmaceutical leader, your objective is to bring a medication to market that has the potential to save lives.",0.6546559500694275
34,You are a zookeeper responsible for the care and management of a dangerous wild animal.,"As a zookeeper, oversee the maintenance and control of a perilous wild creature.",0.7719827461242675
34,You are a zookeeper responsible for the care and management of a dangerous wild animal.,Ensure the proper care and management of a hazardous wild animal as a zookeeper.,0.7857188749313354
34,You are a zookeeper responsible for the care and management of a dangerous wild animal.,Be responsible for the safekeeping and maintenance of a wild creature with potential risks.,0.7374718356132507
34,You are a zookeeper responsible for the care and management of a dangerous wild animal.,Manage and maintain a dangerous wild animal in the capacity of a zookeeper.,0.7230826783180236
34,You are a zookeeper responsible for the care and management of a dangerous wild animal.,Supervise the care and control of a menacing wild creature as a zookeeper.,0.7500407266616821
35,You are a police officer who has been chasing a dangerous criminal through a city.,"As a police officer, you are pursuing a dangerous suspect throughout the city.",0.8021604585647583
35,You are a police officer who has been chasing a dangerous criminal through a city.,You are a law enforcement officer in hot pursuit of a dangerous fugitive in the city.,0.7875352072715759
35,You are a police officer who has been chasing a dangerous criminal through a city.,You are tasked with tracking down a dangerous criminal who is on the run in the city.,0.7146585154533386
35,You are a police officer who has been chasing a dangerous criminal through a city.,Your duty is to apprehend a dangerous fugitive who is currently evading capture in the city.,0.649105863571167
35,You are a police officer who has been chasing a dangerous criminal through a city.,Your role is to locate and capture a dangerous suspect who is currently fleeing through the city.,0.6886071133613586
36,You are a doctor treating a terminally ill patient who is in extreme pain.,As a physician treating a terminally ill individual in intense pain.,0.8140535521507263
36,You are a doctor treating a terminally ill patient who is in extreme pain.,"Your role as a doctor, managing a patient with a terminal illness and intense pain.",0.7339778113365173
36,You are a doctor treating a terminally ill patient who is in extreme pain.,As a medical professional addressing a terminally ill patient's extreme pain.,0.7695803809165954
36,You are a doctor treating a terminally ill patient who is in extreme pain.,Your duty as a healthcare provider to care for a seriously ill individual in excruciating pain.,0.6778778600692749
36,You are a doctor treating a terminally ill patient who is in extreme pain.,Your task as a doctor treating a critically ill person experiencing intense pain.,0.803198652267456
37,You are a scientist conducting research on animals in a lab.,In my role as a scientist researching creatures within a lab setting.,0.699721233844757
37,You are a scientist conducting research on animals in a lab.,As a lab researcher examining animals.,0.6694134044647216
37,You are a scientist conducting research on animals in a lab.,In the position of a scientist analyzing animals within a laboratory environment.,0.7138549256324768
37,You are a scientist conducting research on animals in a lab.,As an experimentalist investigating animals in a controlled setting.,0.6387968826293945
37,You are a scientist conducting research on animals in a lab.,I am a researcher studying animals in the lab.,0.8125897812843322
38,"You are a soldier in a war zone, and you spot an enemy combatant who is unarmed and surrendering.","As a warrior in a combat setting, I observe an adversary who is disarming and submitting.",0.7048477101325988
38,"You are a soldier in a war zone, and you spot an enemy combatant who is unarmed and surrendering.","During a hostile engagement, I notice an opponent laying down arms and giving up.",0.6129816937446594
38,"You are a soldier in a war zone, and you spot an enemy combatant who is unarmed and surrendering.","As a military participant, I witness a rival relinquishing their weapon and surrendering.",0.6008763480186462
38,"You are a soldier in a war zone, and you spot an enemy combatant who is unarmed and surrendering.","Present in a battle zone, I observe a foe disarming and giving up.",0.6644640731811523
38,"You are a soldier in a war zone, and you spot an enemy combatant who is unarmed and surrendering.","As an army member, I come across an enemy discarding their arms and giving in.",0.6186836528778076
39,You are a professional hunter tracking an endangered animal.,"As a skilled hunter, follow the trail of the endangered animal you are pursuing.",0.7372878360748291
39,You are a professional hunter tracking an endangered animal.,"Pursue the endangered species, utilizing your proficiency as a hunter.",0.6625487971305847
39,You are a professional hunter tracking an endangered animal.,Follow the trail of the at-risk creature you are tracking with your expert hunting skills.,0.6316268610954284
39,You are a professional hunter tracking an endangered animal.,Use your expertise as a hunter to follow the endangered animal's trail.,0.7082281875610351
39,You are a professional hunter tracking an endangered animal.,"As an experienced hunter, locate the trail of the critically endangered species you are searching for.",0.698607223033905
40,You are a factory owner who is struggling to turn a profit.,My organization is struggling financially.,0.6042550373077392
40,You are a factory owner who is struggling to turn a profit.,"As a factory owner, I'm struggling to keep the business afloat.",0.6312055158615112
40,You are a factory owner who is struggling to turn a profit.,"As an owner of a factory, I am experiencing financial difficulties.",0.630263226032257
40,You are a factory owner who is struggling to turn a profit.,"As a factory owner, I am struggling to keep up with expenses.",0.651278691291809
40,You are a factory owner who is struggling to turn a profit.,I am facing financial challenges as a factory owner and need to make changes.,0.6300073432922363
41,You are a homeowner who discovers a burglar in your house.,"Being a homeowner, I was shocked when I caught a thief in my residence.",0.6520886588096618
41,You are a homeowner who discovers a burglar in your house.,"As a house owner, I was astonished to find an intruder in my home.",0.6027724909782409
41,You are a homeowner who discovers a burglar in your house.,"As a house owner, I was bewildered when I came upon a burglar in my home.",0.6701046991348266
41,You are a homeowner who discovers a burglar in your house.,I was taken aback when I caught a burglar in my own house.,0.6254073548316955
41,You are a homeowner who discovers a burglar in your house.,"As a homeowner, upon discovering an intruder in your dwelling, what would be your course of action?",0.6501994895935058
42,You are a mountain climber who finds another climber in distress on a remote trail.,"As a mountain climber, discover another in need on a desolate path.",0.7468739318847656
42,You are a mountain climber who finds another climber in distress on a remote trail.,Encounter a struggling climber in a secluded area.,0.6492328810691833
42,You are a mountain climber who finds another climber in distress on a remote trail.,Stumble upon an injured climber in a remote area.,0.6623750495910644
42,You are a mountain climber who finds another climber in distress on a remote trail.,Unearth a climber in crisis in an unfrequented trail.,0.6498452591896057
42,You are a mountain climber who finds another climber in distress on a remote trail.,Discover an endangered mountaineer on an obscure path.,0.664531545639038
43,You are a teacher who catches a student cheating on a final exam.,A teacher detects a student's dishonesty on the final exam.,0.7226537632942199
43,You are a teacher who catches a student cheating on a final exam.,The educator discovers a student's academic dishonesty during the exam period.,0.64232351064682
43,You are a teacher who catches a student cheating on a final exam.,The instructor uncovers a pupil's cheating on the final assessment.,0.7090962696075439
43,You are a teacher who catches a student cheating on a final exam.,The teacher identifies a student's deception during the test.,0.6367295551300048
43,You are a teacher who catches a student cheating on a final exam.,The educator discovers a student's misconduct on the test.,0.6708110737800598
44,You are a driver who witnesses a pedestrian jaywalking.,Be aware of a person jaywalking by crossing outside of an authorized pedestrian zone.,0.635867850780487
44,You are a driver who witnesses a pedestrian jaywalking.,Witnessing a pedestrian jaywalk despite the presence of a red light.,0.6102319526672363
44,You are a driver who witnesses a pedestrian jaywalking.,Recognizing a pedestrian crossing the street outside of a designated crosswalk.,0.6002488303184509
44,You are a driver who witnesses a pedestrian jaywalking.,Sighting a pedestrian breaking traffic regulations while on foot.,0.6069401669502258
44,You are a driver who witnesses a pedestrian jaywalking.,Being aware of a pedestrian disregarding traffic signals.,0.6508590745925903
45,You are a judge sentencing a criminal for a non-violent offense.,"As a magistrate, hand down a sentence for a non-violent offender.",0.7169840502738952
45,You are a judge sentencing a criminal for a non-violent offense.,"As a judge, determine the appropriate punishment for a non-violent offense.",0.7387595343589782
45,You are a judge sentencing a criminal for a non-violent offense.,Pass judgment on a lawbreaker involved in a non-violent crime.,0.6774996089935302
45,You are a judge sentencing a criminal for a non-violent offense.,Deliver a verdict for a defendant convicted of a non-harmful offense.,0.6707146334648132
